service_display_name,name,quantity,region,service_id,sku,"total_price, EUR",notes
Instances (Compute Engine),E2 Instance Core running in Americas,182.5,us-central1,6F81-5844-456A,CF4E-A0C7-E3BF,3.43129,
Instances (Compute Engine),E2 Instance Ram running in Americas,730.0,us-central1,6F81-5844-456A,F449-33EC-A5EF,1.83966,
Instances (Compute Engine),Balanced PD Capacity,10.0,us-central1,6F81-5844-456A,6AE1-525F-8B80,0.862,
Cloud Storage,Standard Storage US Regional,1.0,us-central1,95FF-2EF5-5EA1,E5F0-6A5D-7BAD,17.56756,
,,,,,,,
,,,,,Total Price:,23.70051,
,,,,,,,
"Prices are in EUR, effective date is 2025-09-24T12:29:05.731Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJqWWprMk5URTBOeTA0TldSa0xUUTVaRGd0T1RJM01TMWhNemcyTjJVMVpqazVPR0VRQVE9PRokNUYzN0NDQTMtRTVGQi00MDFDLTgyQ0ItRTFDOUM3QkFENEIw,,,,,,
